,original_language,movie,production_budget,worldwide_gross,studio,movie_id,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
0,en,How to Train Your Dragon,"$165,000,000","$494,870,992",P/DW,tt0892769,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299
1,en,Iron Man 2,"$170,000,000","$621,156,389",Par.,tt1228705,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690
2,en,Inception,"$160,000,000","$835,524,642",WB,tt1375666,Inception,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066
3,en,Toy Story 3,"$200,000,000","$1,068,879,522",BV,tt0435761,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",8.3,682218
4,en,Despicable Me,"$69,000,000","$543,464,573",Uni.,tt1323594,Despicable Me,2010,95.0,"Animation,Comedy,Family",7.7,464511
5,en,Megamind,"$130,000,000","$321,887,208",P/DW,tt1001526,Megamind,2010,95.0,"Action,Animation,Comedy",7.3,207488
6,en,The Expendables,"$82,000,000","$268,268,174",LGF,tt1320253,The Expendables,2010,103.0,"Action,Adventure,Thriller",6.5,307897
7,en,Tangled,"$260,000,000","$586,477,240",BV,tt0398286,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
8,en,The Twilight Saga: Eclipse,"$68,000,000","$706,102,828",Sum.,tt1325004,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733
9,en,The Book of Eli,"$80,000,000","$158,750,817",WB,tt1037705,The Book of Eli,2010,118.0,"Action,Adventure,Drama",6.9,271307
10,en,Shutter Island,"$80,000,000","$299,461,782",Par.,tt1130884,Shutter Island,2010,138.0,"Mystery,Thriller",8.1,1005960
11,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$418,186,950",Fox,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",6.3,129663
12,en,The A-Team,"$110,000,000","$177,241,171",Fox,tt0429493,The A-Team,2010,117.0,"Action,Adventure,Thriller",6.8,235256
13,en,The Last Airbender,"$150,000,000","$319,713,881",Par.,tt0938283,The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734
14,en,Predators,"$40,000,000","$127,234,389",Fox,tt1424381,Predators,2010,107.0,"Action,Adventure,Sci-Fi",6.4,199764
15,en,The Social Network,"$40,000,000","$224,922,135",Sony,tt1285016,The Social Network,2010,120.0,"Biography,Drama",7.7,568578
16,en,Robin Hood,"$210,000,000","$322,459,006",Uni.,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480
17,en,Robin Hood,"$210,000,000","$322,459,006",Uni.,tt2363363,Robin Hood,2013,92.0,"Action,Drama",6.3,78
18,en,Robin Hood,"$210,000,000","$322,459,006",Uni.,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",5.3,41588
19,en,Robin Hood,"$210,000,000","$322,459,006",Uni.,tt6858500,Robin Hood,2018,,,7.6,5
20,en,Robin Hood,"$99,000,000","$84,747,441",Uni.,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480
21,en,Robin Hood,"$99,000,000","$84,747,441",Uni.,tt2363363,Robin Hood,2013,92.0,"Action,Drama",6.3,78
22,en,Robin Hood,"$99,000,000","$84,747,441",Uni.,tt4532826,Robin Hood,2018,116.0,"Action,Adventure,Thriller",5.3,41588
23,en,Robin Hood,"$99,000,000","$84,747,441",Uni.,tt6858500,Robin Hood,2018,,,7.6,5
